datetime,open,high,low,close,volume,rsi,macd,macdsignal,macdhist,fastk,fastd
2017-09-12 02:00:00,250.2,267.48,241.31,245.33,110536.317619,41.1623393302,-1.37363291467,6.75008011511,-8.12371302978,0.0,-1.42108547152e-14
2017-09-13 02:00:00,245.33,245.63,210.0,231.72,191691.235736,37.1733300998,-4.06876821216,4.58631044966,-8.65507866182,0.0,-1.42108547152e-14
2017-09-14 02:00:00,231.72,288.0,188.0,188.01,252563.287106,27.8415295477,-9.62081132886,1.74488609395,-11.3656974228,0.0,-1.42108547152e-14
2017-09-15 02:00:00,188.01,227.8,167.22,218.9,319172.626148,39.4162814566,-11.3969042399,-0.883471972818,-10.5134322671,100.0,33.3333333333
2017-09-16 02:00:00,218.9,228.8,206.0,214.33,104490.79002,38.4340286972,-13.0231091789,-3.31139941403,-9.71170976485,91.5138331501,63.8379443834
2017-09-17 02:00:00,214.33,223.99,202.21,217.0,72687.6433867,39.3844397437,-13.9357984139,-5.43627921401,-8.49951919992,96.7582974302,96.0907101934
2017-09-18 02:00:00,217.29,252.5,217.26,251.35,145477.167565,50.0646337714,-11.7518848697,-6.69940034515,-5.05248452456,100.0,96.0907101934
2017-09-19 02:00:00,251.35,252.38,232.96,236.3,77768.4098702,46.2219248549,-11.1074866813,-7.58101761238,-3.52646906891,64.020233092,86.9261768407
2017-09-20 02:00:00,237.4,245.2,232.0,238.06,45266.0167848,46.7367913384,-10.3356364005,-8.13194137001,-2.20369503053,13.3985293876,59.1395874932
2017-09-21 02:00:00,238.06,242.31,209.0,216.4,105758.192646,41.474219286,-11.3409886148,-8.77375081896,-2.56723779581,0.0,25.8062541599
2017-09-22 02:00:00,216.4,227.78,211.0,222.5,81535.306678,43.4068939715,-11.5128060064,-9.32156185644,-2.19124414993,36.7249068753,16.7078120876
2017-09-23 02:00:00,222.5,239.9,219.0,239.87,64095.2019808,48.6108937985,-10.1305796778,-9.48336542071,-0.64721425707,100.0,45.5749689584
2017-09-24 02:00:00,239.87,245.69,232.78,237.51,42320.7633944,47.9655369521,-9.12045272885,-9.41078288234,0.290330153485,87.5988303643,74.7745790798
2017-09-25 02:00:00,237.51,251.3,237.51,248.83,70510.5679505,51.3049507117,-7.32208599988,-8.99304350585,1.67095750597,100.0,95.8662767881
2017-09-26 02:00:00,248.83,249.57,240.5,242.5,53924.4967824,49.3959230267,-6.33462390738,-8.46135958615,2.12673567877,42.8334485487,76.8107596377
2017-09-27 02:00:00,242.5,266.58,241.94,261.75,82281.4782647,54.8927380779,-3.95316928896,-7.55972152671,3.60655223776,100.0,80.9444828496
2017-09-28 02:00:00,261.75,262.99,252.06,256.44,46265.2436212,53.1768203802,-2.4658966473,-6.54095655083,4.07505990354,68.7834194582,70.5389560023
2017-09-29 02:00:00,256.0,257.31,235.31,245.93,71569.302923,49.8549497097,-2.11095772124,-5.65495678491,3.54399906367,0.0,56.2611398194
2017-09-30 02:00:00,245.93,258.17,244.94,254.8,26247.6953275,52.5490329446,-1.10123682224,-4.74421279238,3.64297597014,81.1013884078,49.961602622
2017-10-01 02:00:00,254.8,255.89,248.5,255.39,20723.3965701,52.7309497787,-0.250529715355,-3.84547617697,3.59494646162,100.0,60.3671294693
2017-10-02 02:00:00,255.39,257.02,250.0,251.71,23409.9650774,51.4071216646,0.125272487646,-3.05132644405,3.1765989317,0.0,60.3671294693
2017-10-03 02:00:00,251.71,255.0,245.0,248.43,34343.7906776,50.1974748522,0.156624384725,-2.40973627829,2.56636066302,0.0,33.3333333333
2017-10-04 02:00:00,248.43,251.57,246.01,249.17,20284.0016636,50.4805836555,0.238434282611,-1.88010216611,2.11853644872,23.4042532428,7.80141774761
2017-10-05 02:00:00,249.17,253.69,246.0,251.63,26613.9276733,51.4682628783,0.496052472891,-1.40487123831,1.9009237112,100.0,41.1347510809
2017-10-06 02:00:00,251.52,262.29,251.0,261.89,29716.969267,55.4585292732,1.51069860518,-0.821757269613,2.3324558748,100.0,74.4680844143
2017-10-07 02:00:00,261.89,267.22,258.25,264.0,28223.5886346,56.2550980503,2.45675242843,-0.166055330004,2.62280775844,100.0,100.0
2017-10-08 02:00:00,263.75,265.25,260.18,261.15,21010.2614187,54.828786342,2.94261508279,0.455678752555,2.48693633024,0.0,66.6666666667
2017-10-09 02:00:00,261.41,262.16,241.21,250.8,61179.909416,49.8824824736,2.46410160592,0.857363323228,1.60673828269,0.0,33.3333333333
2017-10-10 02:00:00,250.79,256.96,246.5,251.92,31337.5594162,50.4038957449,2.15046168408,1.1159829954,1.03447868868,10.5414726861,3.51382422871
2017-10-11 02:00:00,251.92,256.72,251.55,255.08,19234.2916168,51.9236649032,2.13230548681,1.31924749368,0.813057993133,100.0,36.847157562
2017-10-12 02:00:00,255.06,258.2,252.21,252.83,37134.5920914,50.7316299304,1.91429358882,1.43825671271,0.476036876111,21.5647346047,44.0354024303
2017-10-13 02:00:00,252.93,289.7,249.0,283.51,119518.386683,63.1532954623,4.16907864209,1.98442109859,2.1846575435,100.0,73.8549115349
2017-10-14 02:00:00,283.53,291.9,281.4,283.57,33665.743378,63.1728505748,5.89292358533,2.76612159594,3.1268019894,100.0,73.8549115349
2017-10-15 02:00:00,282.67,286.8,270.0,280.99,63735.7883165,61.6575422302,6.97054656269,3.60700658929,3.3635399734,0.0,66.6666666667
2017-10-16 02:00:00,280.99,293.06,278.9,281.65,49695.3834166,61.9092513564,7.78805121375,4.44321551418,3.34483569957,16.6110829603,38.8703609868
2017-10-17 02:00:00,281.65,281.98,263.47,268.54,57842.205723,54.2858452145,7.29398162454,5.01336873625,2.28061288829,0.0,5.53702765344
2017-10-18 02:00:00,268.54,268.86,246.0,267.59,73428.0287284,53.7691525522,6.74798429254,5.36029184751,1.38769244503,0.0,5.53702765344
2017-10-19 02:00:00,267.6,269.5,259.0,260.18,26820.0902329,49.7885021546,5.65219738807,5.41867295562,0.233524432446,0.0,0.0
2017-10-20 02:00:00,260.18,263.93,252.5,255.0,25206.6949312,47.1601000951,4.3160430055,5.19814696559,-0.882103960099,0.0,0.0
2017-10-21 02:00:00,255.0,256.5,247.21,254.26,29414.4203325,46.7801635086,3.16098138946,4.79071385037,-1.62973246091,0.0,0.0
2017-10-22 02:00:00,254.26,259.79,247.51,250.44,13911.0875787,44.7748297363,1.91526666021,4.21562441234,-2.30035775213,0.0,0.0
2017-10-23 02:00:00,250.44,250.51,235.82,241.77,47798.5510149,40.5283923285,0.225829004407,3.41766533075,-3.19183632634,0.0,0.0
2017-10-24 02:00:00,241.78,266.49,238.61,252.21,51168.7740216,47.0415572427,-0.267557523691,2.68062075986,-2.94817828355,100.0,33.3333333333
2017-10-25 02:00:00,252.21,258.89,249.0,253.0,24978.7164259,47.5100146639,-0.58804488874,2.02688763014,-2.61493251888,100.0,66.6666666667
2017-10-26 02:00:00,252.76,256.59,250.96,254.29,19701.2431574,48.3140127879,-0.729531629006,1.47560377831,-2.20513540732,100.0,100.0
2017-10-27 02:00:00,254.29,256.4,252.53,256.09,19430.0138787,49.4768959627,-0.68847956934,1.04278710878,-1.73126667812,100.0,100.0
2017-10-28 02:00:00,256.09,256.29,250.71,253.57,11361.0153765,47.853625679,-0.849495994738,0.664330488077,-1.51382648282,0.0,66.6666666667
2017-10-29 02:00:00,253.57,266.64,253.0,261.18,30324.0027433,52.8811258834,-0.358902071676,0.459683976127,-0.818586047803,100.0,66.6666666667
2017-10-30 01:00:00,261.18,264.99,260.11,263.0,21743.6374015,54.022799379,0.174741623847,0.402695505671,-0.227953881823,100.0,66.6666666667
2017-10-31 01:00:00,263.0,265.97,258.51,261.57,22689.6780323,52.9374749725,0.476773104684,0.417511025473,0.0592620792102,4.93565711532,68.3118857051
2017-11-01 01:00:00,261.15,261.77,249.2,249.94,41351.5843089,45.0164390468,-0.219775143717,0.290053791635,-0.509828935353,0.0,34.9785523718
2017-11-02 01:00:00,249.57,251.99,240.21,243.53,44590.7271872,41.3444686314,-1.27433829966,-0.0228246266235,-1.25151367304,0.0,1.64521903844
2017-11-03 01:00:00,243.2,264.0,243.2,261.1,38741.5225017,52.7270160359,-0.684445179104,-0.15514873712,-0.529296441984,100.0,33.3333333333
2017-11-04 01:00:00,261.1,262.17,254.21,256.82,15598.0329528,50.1728117728,-0.555902760674,-0.23529954183,-0.320603218843,77.5603459195,59.1867819732
2017-11-05 01:00:00,256.95,258.05,252.05,254.35,12491.5170833,48.7064314953,-0.645894851526,-0.317418603769,-0.328476247756,0.0,59.1867819732
2017-11-06 01:00:00,254.35,262.42,252.0,257.9,24342.7240414,50.9263773048,-0.425849967133,-0.339104876442,-0.0867450906906,100.0,59.1867819732
2017-11-07 01:00:00,257.9,262.0,246.6,251.24,50992.7710709,46.8314376281,-0.779879189137,-0.427259738981,-0.352619450156,0.0,33.3333333333
2017-11-08 01:00:00,251.24,275.15,250.27,267.15,65556.0863347,55.9448677562,0.220808790081,-0.297646033169,0.518454823249,100.0,66.6666666667
2017-11-09 01:00:00,267.15,283.07,265.07,276.63,72289.2161567,60.3103032246,1.75854656536,0.113592486538,1.64495407883,100.0,66.6666666667
2017-11-10 01:00:00,276.63,277.96,251.01,254.5,68892.4237715,48.2826716491,1.17793033158,0.326460055546,0.851470276033,0.0,66.6666666667
2017-11-11 01:00:00,254.5,269.69,247.12,265.87,52080.2169622,53.4222857383,1.61661641244,0.584491326925,1.03212508552,42.7317220102,47.5772406701
2017-11-12 01:00:00,265.82,267.0,250.0,261.05,61365.625082,51.1037261939,1.55739192979,0.779071447497,0.778320482288,54.8884506857,32.5400575653
2017-11-13 01:00:00,261.01,273.0,260.02,270.5,34411.7900321,55.2082542694,2.2470890795,1.0726749739,1.1744141056,100.0,65.8733908986
2017-11-14 01:00:00,270.5,287.8,270.1,286.71,74381.8408456,61.2215648543,4.05494765458,1.66912951004,2.38581814455,100.0,84.9628168952
2017-11-15 01:00:00,286.71,288.2,278.27,281.09,43599.7292095,58.2993166864,4.97683175011,2.33066995805,2.64616179206,51.4036714613,83.8012238204
2017-11-16 01:00:00,281.09,284.88,273.7,278.51,39928.6918709,56.9552690836,5.43657761697,2.95185148983,2.48472612714,0.0,50.4678904871
2017-11-17 01:00:00,278.78,284.0,277.27,282.8,18971.6142628,58.6618409718,6.07704429196,3.57689005026,2.5001542417,100.0,50.4678904871
2017-11-18 01:00:00,282.8,294.0,278.5,292.3,34556.0942285,62.2326911307,7.26741511376,4.31499506296,2.9524200508,100.0,66.6666666667
2017-11-19 01:00:00,292.0,307.9,289.89,298.89,74614.0840411,64.5221075859,8.64292028624,5.18058010761,3.46234017862,100.0,100.0
2017-11-20 01:00:00,298.89,314.0,296.92,306.7,60385.5626297,67.0698350501,10.2451204039,6.19348816687,4.051632237,100.0,100.0
2017-11-21 01:00:00,306.7,314.0,298.95,306.01,51365.2817975,66.6146919946,11.3286091524,7.22051236397,4.10809678842,82.1353319006,94.0451106335
2017-11-22 01:00:00,306.01,321.5,305.0,321.41,45869.3896186,71.2964838019,13.276885418,8.43178697478,4.84509844324,100.0,94.0451106335
2017-11-23 01:00:00,321.41,355.97,318.19,346.68,109487.164585,76.9969601311,16.66784961,10.0789995018,6.58885010815,100.0,94.0451106335
2017-11-24 01:00:00,346.68,397.8,336.0,394.7,96845.5777826,83.6442879669,22.9652962036,12.6562588422,10.3090373614,100.0,100.0
2017-11-25 01:00:00,394.0,396.77,381.54,384.21,51884.1450434,78.319873451,26.8006712133,15.4851413164,11.3155298969,19.9014303568,73.3004767856
2017-11-26 01:00:00,384.18,386.76,371.16,383.0,39068.184775,77.7054305837,29.4036496829,18.2688429897,11.1348066932,0.0,39.9671434523
2017-11-27 01:00:00,383.0,399.24,375.0,393.4,55838.4771482,79.2148027356,31.9375655815,21.002587508,10.9349780734,100.0,39.9671434523
2017-11-28 01:00:00,393.33,394.1,385.52,387.99,45543.3660171,76.3202232161,33.1272995125,23.4275299089,9.69976960356,0.0,33.3333333333
2017-11-29 01:00:00,389.0,427.58,338.2,361.1,153999.395018,63.8345212051,31.5368369284,25.0493913128,6.48744561557,0.0,33.3333333333
2017-11-30 01:00:00,361.02,388.71,337.0,371.0,104748.770176,66.0374606731,30.7210974459,26.1837325395,4.53736490649,17.6436972948,5.88123243161
2017-12-01 01:00:00,370.87,397.0,358.0,387.3,52655.0829467,69.3480378625,31.0321722395,27.1534204795,3.87875176004,100.0,39.2145657649
2017-12-02 01:00:00,387.3,394.9,377.1,383.17,23414.9886323,67.5513012647,30.5927901292,27.8412944094,2.75149571976,45.7273914785,54.4570295911
2017-12-03 01:00:00,383.17,395.21,371.94,383.0,45786.6615648,67.4738070994,29.8863478475,28.250305097,1.63604275049,0.0,48.5757971595
2017-12-04 01:00:00,382.92,394.0,379.02,390.55,39925.0653953,69.1656232756,29.594561469,28.5191563714,1.07540509762,100.0,48.5757971595
2017-12-05 01:00:00,390.55,393.0,381.89,383.6,37870.8048284,65.774080777,28.4742779934,28.5101806958,-0.035902702434,0.0,33.3333333333
2017-12-06 01:00:00,384.0,385.99,351.0,353.0,69108.8351981,53.3662708977,24.831044182,27.7743533931,-2.94330921102,0.0,33.3333333333
2017-12-07 01:00:00,354.0,368.0,342.12,352.54,62668.9008891,53.2037893688,21.6569886982,26.5508804541,-4.89389175593,0.0,-4.73695157173e-15
2017-12-08 01:00:00,354.9,383.45,342.4,371.99,59072.1703543,58.9016057771,20.4749567527,25.3356957138,-4.86073896112,100.0,33.3333333333
2017-12-09 01:00:00,371.99,411.0,368.33,384.24,67390.461517,62.0367819528,20.2927384848,24.327104268,-4.03436578318,100.0,66.6666666667
2017-12-10 01:00:00,384.25,385.31,353.01,358.75,37806.7223591,52.9801145375,17.8853282922,23.0387490729,-5.15342078062,0.0,66.6666666667
2017-12-11 01:00:00,358.75,412.0,357.24,410.0,62300.4580988,64.2733853259,19.8836783887,22.407734936,-2.5240565473,100.0,66.6666666667
2017-12-12 01:00:00,410.0,509.0,401.0,508.84,163189.490097,76.1638318793,29.1074150354,23.7476709559,5.35974407949,100.0,66.6666666667
2017-12-13 01:00:00,508.84,575.0,468.83,559.0,113440.416673,79.832209926,40.0036484191,26.9988664485,13.0047819706,100.0,100.0
2017-12-14 01:00:00,559.0,595.0,539.09,570.58,65372.0577037,80.5754421036,49.0084620569,31.4007855702,17.6076764867,100.0,100.0
2017-12-15 01:00:00,570.54,576.76,496.82,564.64,40521.6768382,78.9678383538,55.0311683308,36.1268621223,18.9043062085,0.0,66.6666666667
2017-12-16 01:00:00,564.64,592.0,560.14,576.04,34870.6904184,79.800778942,60.0320787354,40.907905445,19.1241732905,51.8125556936,50.6041852312
2017-12-17 01:00:00,574.99,597.74,574.1,582.04,32174.0576046,80.2442394502,63.744677158,45.4752597876,18.2694173704,100.0,50.6041852312
2017-12-18 01:00:00,582.05,662.46,560.0,654.67,69506.8450077,84.6402124334,71.7208192024,50.7243716705,20.9964475318,100.0,83.9375185645
2017-12-19 01:00:00,654.67,725.0,637.07,691.93,83305.2133098,86.3217386692,80.124909759,56.6044792882,23.5204304708,100.0,100.0
2017-12-20 01:00:00,691.93,704.2,630.0,674.01,73729.6470428,81.6897666009,84.3666911381,62.1569216582,22.2097694799,0.0,66.6666666667
2017-12-21 01:00:00,674.01,699.62,563.72,631.9,81005.926128,71.9231057954,83.3693780745,66.3994129415,16.9699651331,0.0,33.3333333333
2017-12-22 01:00:00,631.9,640.0,400.0,557.82,169662.666994,58.6406684087,75.7284133885,68.2652130309,7.46320035767,0.0,0.0
2017-12-23 01:00:00,557.82,628.96,550.07,587.53,58156.2787971,61.6958793625,71.2489292227,68.8619562692,2.38697295349,23.0018848567,7.66729495223
2017-12-24 01:00:00,590.02,593.51,508.01,573.96,48112.8237522,59.5327354754,65.8449011245,68.2585452403,-2.41364411582,29.1982151226,17.4000333264
2017-12-25 01:00:00,573.96,627.79,571.32,605.0,49816.3490442,62.7499679854,63.3367320888,67.27418261,-3.93745052118,100.0,50.7333666598
2017-12-26 01:00:00,603.45,630.0,602.73,623.97,26162.2388796,64.6021586073,62.1631326211,66.2519726122,-4.08883999111,100.0,76.3994050409
2017-12-27 01:00:00,623.94,628.99,595.64,623.8,39199.315895,64.5711727171,60.5216728373,65.1059126572,-4.5842398199,98.3270679652,99.4423559884
2017-12-28 01:00:00,623.8,624.95,585.1,607.69,50814.7824531,61.5579422827,57.2607949687,63.5368891195,-6.27609415082,0.0,66.1090226551
2017-12-29 01:00:00,607.69,639.87,604.89,629.76,40530.9631979,64.0340881392,55.8140012543,61.9923115465,-6.17831029215,82.1757880919,60.1676186857
2017-12-30 01:00:00,629.0,630.6,580.0,587.36,45207.119102,56.5040468622,50.6620802388,59.726265285,-9.06418504619,0.0,27.391929364
2017-12-31 01:00:00,588.9,639.0,586.0,639.0,26327.4354966,62.3163023755,50.1677594404,57.814564116,-7.64680467568,77.1875651077,53.1211177332
2018-01-01 01:00:00,639.0,650.0,620.3,638.01,30981.9815036,62.1448534929,49.1297843483,56.0776081625,-6.94782381421,97.0502177309,58.0792609462
2018-01-02 01:00:00,638.01,731.94,638.01,713.0,93620.3402877,69.0835180717,53.7387806796,55.6098426659,-1.87106198634,100.0,91.4125942795
2018-01-03 01:00:00,713.0,781.0,703.07,779.44,60739.1767258,73.6856093996,62.0374669143,56.8953675156,5.1420993987,100.0,99.0167392436
2018-01-04 01:00:00,779.22,831.49,750.26,791.98,68129.151055,74.4584069583,68.8326488142,59.2828237753,9.54982503894,100.0,100.0
2018-01-05 01:00:00,791.98,840.0,768.0,807.55,70948.4124032,75.4234979336,74.6141429089,62.349087602,12.2650553069,100.0,100.0
2018-01-06 01:00:00,807.55,835.0,794.04,830.56,33426.176576,76.8175902719,80.1290554571,65.905081173,14.223974284,100.0,100.0
2018-01-07 01:00:00,830.56,899.02,818.0,899.02,55209.5845559,80.3829970569,88.9979008386,70.5236451062,18.4742557325,100.0,100.0
2018-01-08 01:00:00,899.02,989.68,806.9,959.0,109620.898599,82.8689291972,99.716934675,76.3623030199,23.3546316551,100.0,100.0
